Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	RefInt_TMT10_FP18_chimerys
CRYL1	44	Q9Y2S2	1.0	27.532214486291206	27.941265278158614	23.425703298138114	25.1156277088242	27.399816626819643	24.334824160336623	27.859855300579223	28.177389511138593	27.903261053181218	24.784099576859866	28.90794778116997	27.532214486291206
CRYM	12	Q14894	1.0	23.351545228456704	24.94158538519874	19.460018552977104	22.28568789525695	23.93872198557974	20.18339340582784	23.297052859556246	23.149443153802142	23.63487747303973	19.374399273038808	23.762823966944822	23.351545228456704
CRYZ	78	Q08257	1.0	28.885250020723248	29.29679170911203	25.0173450425609	26.487279590393495	28.782455220513754	25.352960785870614	29.562933053772998	29.841123018668846	29.51679740693639	26.428965068765404	29.513523725528014	28.885250020723248
CRYZL1	5	O95825	1.0	22.015565894479337	22.371436832608826	17.960875398460892	19.600782372470697	23.10467418008465	19.06476984746693	22.46315816999469	22.597970568135004	22.68987301171447	19.079969793211557	22.71594767080775	22.015565894479337
CS	36	O75390	1.0	26.622406475038424	26.801859304232654	22.21852779908703	23.95039541776591	27.66945791240604	23.321581302432666	27.38468714353696	27.33406225878825	27.1174901321926	23.99954706484873	27.056945833976183	26.622406475038424
CSDE1	33	O75534	1.0	24.55598841076917	24.931189987315108	20.27541826677157	22.079929521387236	25.62095675903064	20.989260754296616	24.942982261118832	25.052444894907563	25.060085412739504	21.79117668727005	25.376552143018234	24.55598841076917
CSE1L	40	P55060	1.0	25.043721226215258	25.093300921424913	20.946353670484275	22.19876191477769	26.362150685600792	21.85658111866231	25.486475680084208	25.5618043577791	25.3743392222994	22.12342304021783	25.77777684775418	25.043721226215258
CSK	13	P41240	1.0	23.723137697708008	23.83830006563607	19.01356020037377	21.140713089397693	24.447856884444132	20.35322086996251	24.38372952561527	24.528418352291386	24.294964704809164	21.321842587512794	24.64805964650121	23.723137697708008
CSNK1A1	8	P48729	1.0	23.53395620819043	23.705727669148878	19.449859699255004	20.15990942148922	24.869329372439477	20.217989283813377	24.270709075528504	23.800166230736203	24.257752648049056	20.233039081307663	24.0749579265237	23.53395620819043
CSNK1D	5	P48730	1.0	22.840095992194286	23.105686601364983	18.25864016369897	19.950653087072382	24.25313312567017	19.524642122931148	23.38470168933706	23.229448490623945	23.375649871584958	19.654290825366413	23.344717965509762	22.840095992194286
CSNK1G3	3	Q9Y6M4	1.0	20.71347574492293	20.763502953755186	16.05853026507125	18.02445813981513	21.857790881971685	16.852874244557913	21.353528673276248	21.40176906192601	21.496585187462422	18.01476699181729	21.14097937355751	20.71347574492293
CSNK2A1	24	P68400	1.0	24.534108114901855	24.37321964333487	20.18005741397678	21.53498140910458	25.847973338639623	21.34619000660026	25.023512807274564	24.981965633162936	24.83852479677823	21.516214467642513	24.867288832315488	24.534108114901855
CSNK2A2	9	P19784	1.0	21.83741495247828	21.889410339705698	17.793782804923094	19.164463870163274	22.56453481366341	18.64800778259433	22.13220041144704	22.317911098697174	22.493509911209163	18.652360964052008	22.092591085757167	21.83741495247828
CSNK2B	11	P67870	1.0	24.28361969535966	24.48631325363956	19.79316851943999	21.438276275756177	25.557649684632366	20.9346308577991	24.83031403479354	24.90272004983378	24.885514666570028	21.384418282971907	24.738771998931856	24.28361969535966
CSPG4	3	Q6UVK1	1.0	22.53530713739165	22.771644776436553	18.58350873654464	19.774822974182864	23.66493252189673	19.310600603751755	22.877506763957715	22.70583017641308	23.288902154104463	19.213817023299992	23.222171844138263	22.53530713739165
CSRP1	11	P21291	1.0	25.161868463515194	25.748331436784333	21.236476255697262	22.98947306046834	25.970921472429254	21.998181942948698	25.367315055764692	25.614785668536182	26.20023085774513	22.30940468639088	25.1380376461659	25.161868463515194
CSRP2	4	Q16527	1.0	21.23408006427184	20.451232785101826	16.33914500724547	17.683733883777325	22.945641458247596	17.384639270638697	21.754288171100367	21.662455953197668	21.739124038531735	18.197062194433023	21.319634198296182	21.23408006427184
CST3	1	P01034	0.9999	18.695054778008213	19.121966109901855	15.030460176796893	15.858776144801768	19.718883304274122	15.40873149192721	19.2164127298109	19.22032990822589	19.326548051542865	15.730698541161534	19.501711633432496	18.695054778008213
CST6	1	Q15828	0.9999	16.40892082416089	16.233973522608093	12.25260394914527	13.701451728275384	17.082441972640538	14.324389023647964	17.317059480890496	16.870886535601823	17.660829572290023	13.699962938767642	16.771522526629045	NA
CSTA	6	P01040	1.0	23.52901256488426	24.301542895980212	19.103590807673356	21.751682338614614	24.043184710552012	19.689863589289928	24.026910736719465	23.52833688235099	24.906227349628747	19.960966608265736	23.785225461118817	23.52901256488426
CSTB	19	P04080	1.0	26.435457769379223	26.308641675838864	22.3943771633002	23.71296047178893	27.56158760974001	23.230730316491346	26.89622556595789	26.893550419774535	26.72590493284262	23.57473561518325	26.995376383035282	26.435457769379223
CSTF1	9	Q05048	1.0	23.31502142612865	23.20991777060831	19.442099531592625	20.3774535135791	24.865659852153303	20.215889467066106	23.882608655390772	23.78412552806205	23.80811649137469	20.69651179129989	23.812571684122194	23.31502142612865
CSTF2	14	P33240	1.0	23.90040750181545	23.564204906889785	19.67606942767988	20.445986470480133	25.92589220737778	20.506408547212455	24.30979425959225	23.963007025879065	24.151809727504304	20.680579985763025	23.945305593474668	23.90040750181545
CSTF2T	4	Q9H0L4	1.0	22.151857066530518	21.910323408170793	18.637635631841867	19.159965372595323	24.168853964148134	19.385411692944	22.50923960304737	21.815847568254036	22.379672793753397	19.038726121948308	22.405673139022447	22.151857066530518
CSTF3	10	Q12996	1.0	23.010071067982356	22.49940955669288	18.07920179685699	19.70742257382738	24.777508161969084	19.456261658097624	23.553817443658826	23.24200380706254	23.293607277229288	19.759767313170393	23.352674993931114	23.010071067982356
CTBP1	17	Q13363	1.0	25.404229477433788	25.58452510747609	21.528128195848936	22.67767372048479	26.62126319998263	22.063105721594635	26.025840535356213	25.828420558418994	25.973580518493662	22.51175618885373	25.66812683194925	25.404229477433788
CTBS	2	Q01459	0.9986	21.70185522341802	22.1851963119957	17.235572464161216	19.561237425456802	22.0012651743516	18.939950385104773	22.22801988502092	22.2941508624325	22.34524828129744	18.806530892446357	22.479838949111745	21.70185522341802
CTCF	10	P49711	1.0	22.78336712277563	22.821684467157237	18.85119383706255	19.79311460082493	24.51360001549811	19.69542552992402	23.365082082773785	23.054692299446263	22.94804455151533	19.48246956186845	22.888496390193566	22.78336712277563
CTDP1	2	Q9Y5B0	0.9968	20.109292837558048	19.70323597130391	16.416058060002364	17.039288101767998	21.03547763872627	17.91086142854351	20.93162176333195	20.49689553409983	20.77746194498553	17.653819563111412	20.457142595790586	20.109292837558048
CTDSPL2	3	Q05D32	0.9999	21.748010238154773	20.791522843726312	18.20731277460828	17.65405647495945	23.971202241735476	18.34696844716445	22.202501592718253	21.615550531674504	21.420050947611752	18.182733922819565	21.57619140648705	21.748010238154773
CTH	27	P32929	1.0	26.70981098537604	27.82399064238486	22.89210610365727	24.930092132592364	26.704727807559202	23.567916649034352	27.18766367426699	27.58417796217788	27.21055272207411	24.132282823448467	26.83505555693693	26.70981098537604
CTIF	2	O43310	0.9991	19.46117985392134	19.67744772121033	14.949292892657185	16.269484965047422	20.41704556674733	16.748320477625864	19.77935178040987	19.76301615992743	20.019021745535678	16.120896950077583	20.45758127247606	19.46117985392134
CTNNA1	98	P35221	1.0	27.21245647090978	27.4252829543319	22.983021681499405	24.555043138312143	28.336690654761515	23.87938726136137	27.574076256148082	27.391816093121726	28.089953380968698	23.969064336192	27.841967728019902	27.21245647090978
CTNNA2	7	P26232	1.0	21.71038781981379	21.20547740669232	16.979558480522094	17.766302904100222	21.547966241017544	18.202419116382725	23.185548702979062	23.102365654036817	22.032308526449963	19.58263873175262	21.217350379917015	21.71038781981379
CTNNAL1	5	Q9UBT7	0.9993	21.45293586925045	21.25116629353823	18.119100234753496	18.466499661191794	22.469004584279084	19.225787024992957	22.135290465349666	22.143939131529866	22.018460006320783	19.210002752250496	22.222786665864174	21.45293586925045
CTNNB1	35	P35222	1.0	25.62695194148949	25.866999736590095	21.42739472560281	23.128774811711843	26.561867100926555	22.56696207559576	26.095966688877397	25.91727072544999	26.547593079904225	22.52544785610056	26.262213440972197	25.62695194148949
CTNNBL1	17	Q8WYA6	1.0	23.61258711468602	23.320725865858908	19.47495951186201	20.732233453127808	25.31664286926582	20.113462905155327	24.04420049098321	23.874314630731615	23.808493011463067	20.455843762960473	23.943013516482033	23.61258711468602
CTNND1	70	O60716	1.0	25.83405409790198	25.956285791489126	22.116818726379908	23.073168768561622	26.913912932951035	23.305430603477916	26.20978119340988	26.035177678061906	26.57059090154534	22.798808400890785	26.539521293848434	25.83405409790198
CTPS1	8	P17812	1.0	22.913550308991724	22.88053829921352	19.033911268633624	19.686607801499594	24.889572937255995	19.747566376584693	23.3643804546938	23.136230214988924	23.097123825758402	20.2819038658798	22.885701697048784	22.913550308991724
CTPS2	9	Q9NRF8	1.0	22.72849583211079	22.84147810219325	18.496364620950484	19.93770284236577	23.357520552738443	19.210967824510057	23.57441092696966	23.805237486797346	23.247686856492205	20.359582877331157	22.85924226780111	22.72849583211079
CTR9	10	Q6PD62	1.0	24.638272349394388	24.501867145766393	20.768594698610034	21.67438976685687	26.254794925395366	21.735048600982235	25.25845200876121	25.202658446738273	24.822814297988966	21.883390154719343	24.983589206740973	24.638272349394388
CTSA	16	P10619	1.0	26.16996112638014	25.518617088650206	21.11048214015187	22.7635666079503	27.155790120480273	22.493655744161718	27.2051792032781	27.317305995935723	26.609011147681496	24.00029336073416	25.870679437074106	26.16996112638014
CTSB	44	P07858	1.0	28.014732558135705	28.41326642388559	24.271945401038444	25.626708921341177	28.61901646931261	25.057183679098667	28.42407358615819	28.61073631978155	28.815068843058437	25.270552835632564	28.571238083020514	28.014732558135705
CTSC	8	P53634	1.0	22.733578845261178	23.130295532512516	19.18689760677246	20.200210354440056	23.545578272618904	19.271204856273723	23.04232861939179	23.24066121706745	23.63573243009794	20.060969796835604	23.35989991660549	22.733578845261178
CTSD	145	P07339	1.0	29.57784951173165	29.712475490549	25.42992139248693	26.79087796408896	30.176760332656556	26.138119882503897	30.409834723776907	30.42824804596808	30.35454733647011	26.903460511918908	29.708237025495848	29.57784951173165
CTSF	4	Q9UBX1	1.0	22.315046996453557	22.723222083400348	17.702232041326656	19.852992122902457	21.627784501227655	18.716621699596203	23.31160606581749	23.21366844447221	23.372127074065496	19.46876050748206	22.538354313490974	22.315046996453557
CTSG	11	P08311	1.0	24.17302924895021	24.124161686146056	20.37483806825327	21.218243499269423	24.36402603285109	21.570127418969665	24.33047383786293	24.31005565195675	24.692569153538635	20.58801032520977	25.934551917390692	24.17302924895021
CTSH	9	P09668	1.0	23.37213071597442	23.74536758789647	18.46498006865534	20.96112741040718	24.61008653112052	19.83566269865868	23.788314413150072	23.84379347519609	24.078694851372525	20.161785778163434	23.257196696782668	23.37213071597442
CTSL	5	P07711	1.0	24.835900594905986	25.144849049477795	20.706204861797005	22.02945640699766	25.310143496040364	21.72154904256912	25.62141460470356	25.82191303399537	25.529260714629967	22.47048294212076	25.255763600452372	24.835900594905986
CTSO	2	P43234	0.9999	19.733635782576215	19.74840316925142	16.644966055328947	16.095872862632245	20.646807770574284	17.241667090263245	20.366694505844436	20.545164641922472	20.30000810160381	16.68351593809269	19.917054708781873	19.733635782576215
CTSS	10	P25774	1.0	25.51527469111166	25.3821836222773	21.576948316899664	22.55996165733453	26.024886802487657	22.621863893043766	26.376462046251667	26.614845288254106	26.024740434204105	23.463468960698435	25.726859555392476	25.51527469111166
CTSZ	14	Q9UBR2	1.0	26.60673780077973	27.104386338433507	22.728321873306893	24.311839126959075	27.01923375738178	23.926725087132862	27.149630967292254	27.247238504485406	27.75933165041236	23.884847302366047	27.198633462195186	26.60673780077973
CTTN	20	Q14247	1.0	24.367963665707556	24.503943432852985	20.051090897249807	21.6842123616575	25.86286711167901	21.543514489849517	24.96306707724309	24.54613673907716	24.914395558607932	21.107427181895712	24.610686462170637	24.367963665707556
CTU2	2	Q2VPK5	0.9975	19.413818675113596	19.523199845955432	15.547534383865578	16.519056407067684	20.716444610546038	16.470657413717014	20.08394616653758	20.04661258763665	19.956934020441924	16.76853345813405	19.838920537913904	19.413818675113596
CUL1	25	Q13616	1.0	24.582020058053715	24.88873614061425	20.447568117965954	22.039478162615083	25.469020147831472	21.301524551027263	25.165121011654787	25.336521885372186	25.217951195515774	21.91628163009653	25.145120059030788	24.582020058053715
CUL2	27	Q13617	1.0	24.141920376877472	24.05503109002974	20.028772410964994	21.251323712687807	25.333754665333743	20.91998278319481	24.767965711347557	24.809229307427525	24.485323217741836	21.493032472937315	24.729160196869476	24.141920376877472
CUL3	36	Q13618	1.0	24.039468947394152	24.148055017129543	19.956559616688068	21.437194433626086	24.799428639329044	20.92879418638832	24.70602287625985	24.87496328856493	24.640003968614486	21.463134731552913	24.746423556949715	24.039468947394152
CUL4A	28	Q13619	1.0	23.923689975349404	23.894884658272126	19.629745749921394	21.22438787028349	25.354830908429804	20.66287836250103	24.451456721133656	24.26832119082031	24.224029482183667	21.017365132026566	24.393348468648664	23.923689975349404
CUL4B	13	Q13620	1.0	23.537276061320416	23.226092029896154	19.464674428094494	20.370127779135892	24.83473793387812	20.145474987003325	24.25861581293643	24.26050946576654	23.69200630574864	21.286782825201083	23.890985567971473	23.537276061320416
CUL5	21	Q93034	1.0	23.73001960006287	23.901401786244765	19.518951384312672	21.0111946607457	24.514776303135637	20.499489140176923	24.51582540306605	24.765325878949376	24.29685823570585	21.247294735323095	24.229438563364273	23.73001960006287
CUL7	3	Q14999	1.0	20.348617872399974	20.146536075080444	16.859557958650207	17.712853018917944	21.868902244007046	18.355981814055596	20.741559958460222	20.6829140541175	20.627505301783835	18.14314070908944	20.56112630364409	20.348617872399974
CUTA	17	O60888	1.0	24.039875438357345	24.206564402362932	20.364348023392186	21.365105994123525	25.38769126037771	20.62767204861741	24.733730130775793	24.75537351065188	24.249016257549325	20.99296999422676	23.79245499475152	24.039875438357345
CUTC	4	Q9NTM9	1.0	22.493111779747824	22.75325546914385	18.340821026652893	19.935562608863176	23.892696197299326	19.683800126331175	22.92475480388289	22.887394073005908	23.00769670601097	19.598446149836533	23.045551964701154	22.493111779747824
CUX1	16	Q13948	1.0	24.988723513702965	24.86715279597535	20.75196219627453	21.81363141698769	26.063038585642904	21.89889411795792	25.753570068162926	25.629651695258307	25.467212877775303	22.38836376169744	25.33942624888633	24.988723513702965
CWC15	4	Q9P013	1.0	23.15662554142456	22.536404403784736	18.654023743107636	19.555916138739516	25.26386211520771	19.958744611766726	23.611024366443857	22.709175885387417	23.12370230687124	19.151248286223975	22.8452372438192	23.15662554142456
CWC22	10	Q9HCG8	1.0	22.263915735283952	22.049518804817474	18.193947242859352	18.94101987726478	24.026641694402148	19.270679591892716	22.890155917563543	22.599460058871703	22.46388324632065	19.447017669156228	22.400408469449125	22.263915735283952
CWC25	2	Q9NXE8	1.0	20.328955864642168	19.96331901336328	16.24871735274164	17.29904991721886	22.456608794941538	17.026940852082916	20.590820898540272	19.85887683171558	20.36057796591881	16.873254561768103	20.196570657088365	20.328955864642168
CWC27	5	Q6UX04	1.0	22.498400743383765	22.529328076718283	18.1390097014981	19.422012049702584	23.74924354736081	18.794003912330382	23.000831729083323	22.711220049060127	23.019867563002524	19.276287145973058	22.908181360305157	22.498400743383765
CWF19L1	9	Q69YN2	1.0	22.410128597604825	22.28625608099531	18.20505611054198	19.157226824032037	24.036864254922158	18.867557209943428	22.8863442543682	22.89975998151868	22.36638902165091	19.22595220247764	22.64862448941281	22.410128597604825
CXADR	14	P78310	1.0	22.937546989080957	22.70743575865122	18.386675489923878	19.662126669818313	24.15626284287929	19.55408550465706	23.503930917701446	23.493699985766778	23.663086309999088	19.903949892599908	23.415333091266064	22.937546989080957
CXCL12	1	P48061	0.9936	20.432564455574827	19.382465059991958	NA	NA	19.971153403794315	17.17140306327418	19.867444698896403	19.69701722995353	21.823740974408725	NA	21.270163134952174	20.432564455574827
CXXC1	2	Q9P0U4	0.9942	21.108320488610527	21.246039919213715	17.62484892846339	17.752609966392654	22.52569037019707	18.881219029779505	21.433669281975263	21.371726317277346	21.89525985361556	17.29200066612801	21.656645511394245	21.108320488610527
CXorf38	2	Q8TB03	1.0	20.52620353901734	20.649485005552737	17.6026791854686	17.744690023888523	21.819586333489593	18.252992048632155	21.11369194826219	20.993403814580052	20.85677629366801	18.038985872319213	21.23755040044744	20.52620353901734
CYB5A	49	P00167	1.0	29.658353663756525	30.01368264872246	25.473689831348008	27.32857706299983	30.04910492365499	26.80575222736435	30.239791581546243	30.11980048892035	30.551841739534662	26.78184347577012	30.34457288420326	29.658353663756525
CYB5B	4	O43169	1.0	24.806860617319952	24.858053130700053	21.158942071129708	21.999583210251675	25.83301674423537	22.284881343362354	25.531530952608403	25.376940622416075	25.548408207817648	22.190876953427683	25.46077563128313	24.806860617319952
